observed_at_utc,year,season,wind_speed_ms,wind_direction_deg_true,line_azimuth_deg,wind_perpendicular_ms,air_temperature_c,global_solar_radiation_wm2,convective_heat_loss_wm,radiative_heat_loss_wm,solar_heat_gain_wm,net_heat_loss_wm,rating_multiplier
2024-12-10 22:00:00+00:00,2024,winter,2.058,70.0,22.33,1.5214353692539102,2.1,0.0,168.32113974361192,22.803116059561038,0.0,191.12425580317296,1.376134039402446
2024-12-10 23:00:00+00:00,2024,winter,1.543,90.0,22.33,1.4272918322607975,2.0,0.0,163.60885899953254,22.824353535950085,0.0,186.43321253548262,1.3591408803277887
2024-12-11 00:00:00+00:00,2024,winter,1.543,90.0,22.33,1.4272918322607975,1.8,0.0,164.05710244884634,22.866759076827037,0.0,186.92386152567337,1.3609281770005486
2024-12-11 01:00:00+00:00,2024,winter,1.029,90.0,22.33,0.9518362251434611,1.8,0.0,135.83199518734435,22.866759076827037,0.0,158.69875426417138,1.2539770628117954
2024-12-11 02:00:00+00:00,2024,winter,1.543,90.0,22.33,1.4272918322607975,1.7,0.0,164.2812241735032,22.88792717494678,0.0,187.16915134845,1.3618208195622004
2024-12-11 03:00:00+00:00,2024,winter,1.543,90.0,22.33,1.4272918322607975,1.6,0.0,164.50534589816013,22.909072180598372,0.0,187.4144180787585,1.362712793446056
2024-12-11 04:00:00+00:00,2024,winter,2.058,20.0,22.33,0.08366791584890525,1.3,0.0,47.85733249141469,22.97236881072014,0.0,70.82970130213482,0.8377424817099195
2024-12-11 05:00:00+00:00,2024,winter,1.029,20.0,22.33,0.041833957924452624,1.2,0.0,47.92226781365541,22.9934216144444,0.0,70.91568942809981,0.8382508422907369
2024-12-11 06:00:00+00:00,2024,winter,1.029,40.0,22.33,0.3123366988866657,1.5,0.0,81.14516815064427,22.93019411058248,0.0,104.07536226122674,1.015492685148506
2024-12-11 07:00:00+00:00,2024,winter,2.058,60.0,22.33,1.257669880426625,1.8,0.0,154.6643229556477,22.866759076827037,0.0,177.53108203247473,1.3262946990324844
2024-12-11 08:00:00+00:00,2024,winter,1.543,60.0,22.33,0.9429468539836164,1.7,0.0,135.42411847852495,22.88792717494678,0.0,158.31204565347173,1.2524483189361495
2024-12-11 09:00:00+00:00,2024,winter,1.543,70.0,22.33,1.140706887637893,1.8,2.0,147.78664663930115,22.866759076827037,0.0286,170.62480571612818,1.300241186747862
2024-12-11 10:00:00+00:00,2024,winter,1.029,100.0,22.33,1.0052649811033785,2.0,42.0,138.9525746809327,22.824353535950085,0.6006,161.17632821688278,1.263727576894826
2024-12-11 11:00:00+00:00,2024,winter,1.029,120.0,22.33,1.0197937622197308,2.5,93.0,138.92671358630966,22.71793438834439,1.3299,160.31474797465404,1.2603453752548546
2024-12-11 12:00:00+00:00,2024,winter,2.572,120.0,22.33,2.548988878939891,2.9,124.0,215.29287489501453,22.63238108351313,1.7732,236.15205597852767,1.5296733458407274
2024-12-11 13:00:00+00:00,2024,winter,2.572,120.0,22.33,2.548988878939891,3.2,95.0,214.39706542943196,22.567971571093167,1.3585,235.60653700052512,1.5279055265746382
2024-12-11 14:00:00+00:00,2024,winter,2.058,100.0,22.33,2.010529962206757,3.3,69.0,188.513680182029,22.546455065718437,0.9867,210.07343524774743,1.44274109523223
2024-12-11 15:00:00+00:00,2024,winter,2.572,110.0,22.33,2.5698735866301416,3.2,12.0,215.48096777926852,22.567971571093167,0.1716,237.8773393503617,1.5352509328616886
2024-12-11 16:00:00+00:00,2024,winter,1.543,120.0,22.33,1.52919511672016,3.0,0.0,166.63767942244897,22.610934563101228,0.0,189.2486139855502,1.369364886934831
2024-12-11 17:00:00+00:00,2024,winter,2.572,120.0,22.33,2.548988878939891,3.0,0.0,214.99427173982036,22.610934563101228,0.0,237.6052063029216,1.5343725136021142
2024-12-11 18:00:00+00:00,2024,winter,1.543,90.0,22.33,1.4272918322607975,2.9,0.0,161.59176347762047,22.63238108351313,0.0,184.2241445611336,1.3510645786781452
2024-12-11 19:00:00+00:00,2024,winter,1.029,130.0,22.33,0.9804523377138636,2.8,0.0,135.83851972005147,22.65380430937245,0.0,158.4923240294239,1.253161230909928
2024-12-11 20:00:00+00:00,2024,winter,1.029,100.0,22.33,1.0052649811033785,2.8,0.0,137.42980673922386,22.65380430937245,0.0,160.0836110485963,1.2594364837256156
2024-12-11 21:00:00+00:00,2024,winter,0.514,120.0,22.33,0.5094013545004292,2.8,0.0,100.11708634839083,22.65380430937245,0.0,122.77089065776327,1.102936570546498
2024-12-11 22:00:00+00:00,2024,winter,1.029,120.0,22.33,1.0197937622197308,2.7,0.0,138.54346747986466,22.675204257553204,0.0,161.21867173741788,1.2638935664080988
2024-12-11 23:00:00+00:00,2024,winter,1.029,120.0,22.33,1.0197937622197308,2.8,0.0,138.35184442664217,22.65380430937245,0.0,161.00564873601462,1.2630582804110073
2024-12-12 00:00:00+00:00,2024,winter,1.029,140.0,22.33,0.9113203650593824,2.7,0.0,131.46980492062,22.675204257553204,0.0,154.1450091781732,1.2358551388539065
2024-12-12 01:00:00+00:00,2024,winter,1.543,70.0,22.33,1.140706887637893,2.9,0.0,145.5658090531914,22.63238108351313,0.0,168.19819013670454,1.2909621015349217
2024-12-12 02:00:00+00:00,2024,winter,1.543,70.0,22.33,1.140706887637893,3.0,0.0,145.36391472718145,22.610934563101228,0.0,167.9748492902827,1.2901047191092139
2024-12-12 03:00:00+00:00,2024,winter,1.029,90.0,22.33,0.9518362251434611,3.1,0.0,133.4196783329243,22.589464731256644,0.0,156.00914306418093,1.2433055132641289
2024-12-12 04:00:00+00:00,2024,winter,1.029,110.0,22.33,1.0281492693010947,2.9,0.0,138.68658061727075,22.63238108351313,0.0,161.3189617007839,1.264286623029131
2024-12-12 05:00:00+00:00,2024,winter,1.543,110.0,22.33,1.5417243173290467,2.9,0.0,167.5048543108469,22.63238108351313,0.0,190.13723539436003,1.3725760646541765
2024-12-12 06:00:00+00:00,2024,winter,2.058,100.0,22.33,2.010529962206757,3.0,0.0,189.30244035015465,22.610934563101228,0.0,211.9133749132559,1.4490454843652383
2024-12-12 07:00:00+00:00,2024,winter,2.572,100.0,22.33,2.5126739858094167,2.9,0.0,213.39213394069742,22.63238108351313,0.0,236.02451502421056,1.529260217217983
2024-12-12 08:00:00+00:00,2024,winter,2.058,100.0,22.33,2.010529962206757,3.0,0.0,189.30244035015465,22.610934563101228,0.0,211.9133749132559,1.4490454843652383
