observed_at_utc,year,season,wind_speed_ms,wind_direction_deg_true,line_azimuth_deg,wind_perpendicular_ms,air_temperature_c,global_solar_radiation_wm2,convective_heat_loss_wm,radiative_heat_loss_wm,solar_heat_gain_wm,net_heat_loss_wm,rating_multiplier
2024-08-08 14:00:00+00:00,2024,summer,2.058,110.0,22.33,2.0562985386021895,16.3,773.01,155.96144670298955,19.544119848322026,11.054043,164.45152355131157,1.2765028373400598
2024-08-08 15:00:00+00:00,2024,summer,3.601,140.0,22.33,3.189178459260288,17.0,672.01,198.91178315003097,19.370519167956157,9.609743,208.67255931798712,1.4379225850198611
2024-08-08 16:00:00+00:00,2024,summer,4.116,200.0,22.33,0.16733583169780986,17.5,559.0,47.461481866750944,19.245746986454392,7.9937000000000005,58.71352885320533,0.762731926595715
2024-08-08 17:00:00+00:00,2024,summer,5.659,240.0,22.33,3.458286614836869,17.1,397.0,208.76306131020095,19.345616272624557,5.6771,222.43157758282553,1.4845712808424043
2024-08-08 18:00:00+00:00,2024,summer,7.202,260.0,22.33,6.085559868013377,16.0,258.0,301.6537648256388,19.61813562120077,3.6894,317.5825004468396,1.7739080954380504
2024-08-08 19:00:00+00:00,2024,summer,8.746,250.0,22.33,6.465730680026581,15.4,109.0,316.34935131576157,19.765477580452682,1.5587,334.55612889621426,1.8206955425694484
2024-08-08 20:00:00+00:00,2024,summer,10.289,260.0,22.33,8.694019089418166,14.5,0.0,385.6139210457155,19.9847737014965,0.0,405.598694747212,2.004707929317348
2024-08-08 21:00:00+00:00,2024,summer,9.774,270.0,22.33,9.041056622499699,14.0,0.0,398.32017031519194,20.105718788248662,0.0,418.4258891034406,2.0361609660861446
2024-08-08 22:00:00+00:00,2024,summer,10.289,260.0,22.33,8.694019089418166,14.1,0.0,388.16343457329043,20.08158025229009,0.0,408.24501482558054,2.011237133893675
2024-08-08 23:00:00+00:00,2024,summer,9.774,250.0,22.33,7.225709086048456,14.2,0.0,345.6612660622488,20.057416493203508,0.0,365.7186825554523,1.903603116390017
2024-08-09 00:00:00+00:00,2024,summer,8.231,250.0,22.33,6.085002198410563,13.8,0.0,312.88415061892664,20.15392026101056,0.0,333.0380708799372,1.8165601169989796
2024-08-09 01:00:00+00:00,2024,summer,8.746,260.0,22.33,7.390211969681338,13.6,0.0,353.9625681554179,20.20202105188573,0.0,374.1645892073036,1.9254585578444592
2024-08-09 02:00:00+00:00,2024,summer,9.26,250.0,22.33,6.8457198830375185,13.7,0.0,337.0609950056685,20.17798323291303,0.0,357.2389782385815,1.8814048232773382
2024-08-09 03:00:00+00:00,2024,summer,6.688,240.0,22.33,4.0871215550501825,13.1,0.0,247.46039544645316,20.32183346628884,0.0,267.782228912742,1.6288973241416709
2024-08-09 04:00:00+00:00,2024,summer,6.688,230.0,22.33,3.105762679060791,13.2,0.0,208.50067681181272,20.297921149072955,0.0,228.79859796088567,1.5056690151019478
2024-08-09 05:00:00+00:00,2024,summer,7.202,240.0,22.33,4.401233468820487,13.3,0.0,258.21005638639076,20.273983766537576,0.0,278.48404015292834,1.6611275811482815
2024-08-09 06:00:00+00:00,2024,summer,7.202,230.0,22.33,3.344453172038848,13.2,22.0,218.26314260104553,20.297921149072955,0.3146,238.24646375011847,1.5364416282605002
2024-08-09 07:00:00+00:00,2024,summer,8.231,240.0,22.33,5.0300684090338,13.8,134.0,278.152579721176,20.15392026101056,1.9162000000000001,296.39029998218655,1.7137001192617483
2024-08-09 08:00:00+00:00,2024,summer,8.231,240.0,22.33,5.0300684090338,14.8,166.0,273.6076029283463,19.911903268935795,2.3738,291.1457061972821,1.6984705796689241
2024-08-09 09:00:00+00:00,2024,summer,8.231,240.0,22.33,5.0300684090338,14.4,190.0,275.42559364547816,20.009013235380735,2.717,292.7176068808589,1.7030494436074248
2024-08-09 10:00:00+00:00,2024,summer,8.746,250.0,22.33,6.465730680026581,16.1,140.0,312.63383880030796,19.59348927839023,2.0020000000000002,330.22532807869817,1.8088727818078236
2024-08-09 11:00:00+00:00,2024,summer,8.231,250.0,22.33,6.085002198410563,14.9,249.0,307.2604158855799,19.88756245579483,3.5607,323.5872783413747,1.7905998897330155
2024-08-09 12:00:00+00:00,2024,summer,9.26,250.0,22.33,6.8457198830375185,16.8,280.0,320.01549607389734,19.420247771382662,4.0040000000000004,335.43174384528,1.8230765876901354
