snapshot,line_id,bus0,bus1,flow_MW,abs_flow_MW,rating_MW,overload_MW
2030-01-17 07:00:00,1021-2121-1,1021,2121,37.01114265059232,37.01114265059232,121.0,0.0
2030-01-17 08:00:00,1021-2121-1,1021,2121,11.151485140267425,11.151485140267425,121.0,0.0
2030-01-17 09:00:00,1021-2121-1,1021,2121,25.17445405078911,25.17445405078911,121.0,0.0
2030-01-17 10:00:00,1021-2121-1,1021,2121,19.96381609562465,19.96381609562465,121.0,0.0
2030-01-17 11:00:00,1021-2121-1,1021,2121,19.889000352262258,19.889000352262258,121.0,0.0
2030-01-17 12:00:00,1021-2121-1,1021,2121,24.625428781481617,24.625428781481617,121.0,0.0
2030-01-17 13:00:00,1021-2121-1,1021,2121,22.283100012430822,22.283100012430822,121.0,0.0
2030-01-17 14:00:00,1021-2121-1,1021,2121,26.21475109165334,26.21475109165334,121.0,0.0
2030-01-17 15:00:00,1021-2121-1,1021,2121,16.833649873910566,16.833649873910566,121.0,0.0
2030-01-17 16:00:00,1021-2121-1,1021,2121,26.757232336035628,26.757232336035628,121.0,0.0
2030-01-17 17:00:00,1021-2121-1,1021,2121,11.547091658490203,11.547091658490203,121.0,0.0
2030-01-17 18:00:00,1021-2121-1,1021,2121,22.813130476644517,22.813130476644517,121.0,0.0
2030-01-17 19:00:00,1021-2121-1,1021,2121,26.413489131756773,26.413489131756773,121.0,0.0
2030-01-17 20:00:00,1021-2121-1,1021,2121,18.362821485732475,18.362821485732475,121.0,0.0
2030-01-17 21:00:00,1021-2121-1,1021,2121,22.199503425261668,22.199503425261668,121.0,0.0
2030-01-17 22:00:00,1021-2121-1,1021,2121,29.38732264347695,29.38732264347695,121.0,0.0
2030-01-17 23:00:00,1021-2121-1,1021,2121,18.857064319950137,18.857064319950137,121.0,0.0
2030-01-18 00:00:00,1021-2121-1,1021,2121,10.183077861453384,10.183077861453384,121.0,0.0
2030-01-18 01:00:00,1021-2121-1,1021,2121,16.59020242944274,16.59020242944274,121.0,0.0
2030-01-18 02:00:00,1021-2121-1,1021,2121,31.74892214004072,31.74892214004072,121.0,0.0
2030-01-18 03:00:00,1021-2121-1,1021,2121,22.29921513073748,22.29921513073748,121.0,0.0
2030-01-18 04:00:00,1021-2121-1,1021,2121,31.16407065967485,31.16407065967485,121.0,0.0
2030-01-18 05:00:00,1021-2121-1,1021,2121,20.818341435479965,20.818341435479965,121.0,0.0
2030-01-18 06:00:00,1021-2121-1,1021,2121,26.835313795603895,26.835313795603895,121.0,0.0
2030-01-18 07:00:00,1021-2121-1,1021,2121,42.63079240282548,42.63079240282548,121.0,0.0
2030-01-18 08:00:00,1021-2121-1,1021,2121,45.816450755490564,45.816450755490564,121.0,0.0
